PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
J71214794,flat,Bhawani bandhan,Madhyamgram,2.0,1.0,920,4239.0,0.39,Old Property,Unfurnished,246.0,1,11.0
F70835394,flat,Ganguly 4sight desire,Garia,1.0,1.0,535,5100.0,0.27,Old Property,Unfurnished,246.0,1,7.0
P69854924,flat,Dtc capital city,Rajarhat,4.0,2.0,1940,4742.0,0.92,Old Property,Unfurnished,246.0,1,20.0
E69854912,flat,Dtc capital city,Rajarhat,2.0,1.0,910,4615.0,0.42,Old Property,Unfurnished,246.0,1,20.0
R69167152,flat,Sai sarovaar,New Town,3.0,1.0,1163,4700.0,0.55,Old Property,Unfurnished,246.0,1,4.0
P69167148,flat,Sai sarovaar,New Town,2.0,1.0,901,4700.0,0.42,Old Property,Unfurnished,246.0,1,4.0
G70022436,flat,Merlin serenia,Bt Road,2.0,1.0,732,8759.0,0.64,Old Property,Unfurnished,246.0,1,25.0
U69286152,flat,Sunday on the house,New Town,3.0,1.0,1460,5200.0,0.76,Old Property,Unfurnished,246.0,1,5.0
R69286148,flat,Sunday on the house,New Town,2.0,1.0,1050,5200.0,0.55,Old Property,Unfurnished,246.0,1,5.0
M69710576,flat,Spotlight countryside,Rajpur,3.0,1.0,1084,3500.0,0.38,Old Property,Unfurnished,246.0,1,11.0
Z69710572,flat,Spotlight countryside,Rajpur,2.0,1.0,838,3520.0,0.3,Old Property,Unfurnished,246.0,1,11.0
I70905992,flat,Sgil gardenia,Narendrapur,2.0,1.0,819,4000.0,0.33,Old Property,Unfurnished,246.0,1,7.0
G69936996,flat,Merlin skygaze,Em Bypass,2.0,1.0,688,6831.0,0.47,Old Property,Unfurnished,246.0,1,20.0
O69936982,flat,Merlin oikyo,Baruipur,3.0,1.0,830,4632.0,0.38,Old Property,Unfurnished,246.0,1,4.0
I69920536,flat,Merlin rise,Rajarhat,3.0,1.0,812,6527.0,0.53,Old Property,Unfurnished,246.0,1,22.0
D68665168,flat,Atri aqua,Narendrapur,3.0,1.0,1162,3997.0,0.46,Old Property,Unfurnished,246.0,1,11.0
F71230356,flat,Natural city madhyamgram,Madhyamgram,2.0,1.0,933,4072.0,0.38,Old Property,Unfurnished,246.0,1,8.0
Q71294076,flat,Bhawani tridev garden 2,Kestopur,3.0,1.0,1359,5100.0,0.69,Old Property,Unfurnished,246.0,1,4.0
W71294074,flat,Bhawani tridev garden 2,Kestopur,2.0,1.0,974,5099.0,0.5,Old Property,Unfurnished,246.0,1,4.0
A68913472,flat,Signature the landmark,Dum Dum Park,2.0,1.0,812,5500.0,0.45,Old Property,Unfurnished,246.0,1,7.0
D69956648,flat,Tilottama natural city,Madhyamgram,3.0,1.0,1185,3200.0,0.38,Old Property,Unfurnished,246.0,1,4.0
I69956644,flat,Tilottama natural city,Madhyamgram,2.0,1.0,778,3200.0,0.25,Old Property,Unfurnished,246.0,1,4.0
S70113980,flat,Natural quest,Em Bypass,4.0,2.0,1386,10500.0,1.46,Old Property,Unfurnished,246.0,1,11.0
S70608294,flat,Spotlight rainbow,Madhyamgram,3.0,1.0,1079,3250.0,0.35,Old Property,Unfurnished,246.0,1,4.0
R70608292,flat,Spotlight rainbow,Madhyamgram,2.0,1.0,836,3250.0,0.27,Old Property,Unfurnished,246.0,1,4.0
W70152244,flat,Plezers habitat,Belgharia,3.0,1.0,1173,3500.0,0.41,Old Property,Unfurnished,246.0,1,4.0
O70152242,flat,Plezers habitat,Belgharia,2.0,1.0,510,4035.0,0.21,Old Property,Unfurnished,246.0,1,4.0
B70806032,flat,Ps jiva,Chingrighata,4.0,2.0,1490,14765.0,2.2,Old Property,Unfurnished,246.0,1,12.0
M69937024,flat,Merlin lakescape,New Town,3.0,1.0,953,9496.0,0.9,Old Property,Unfurnished,246.0,1,12.0
Z69937020,flat,Merlin lakescape,New Town,1.0,1.0,490,7551.0,0.37,Old Property,Unfurnished,246.0,1,12.0
H69920102,flat,Merlin avana,Tollygunge,4.0,2.0,1431,9783.0,1.4,Old Property,Unfurnished,246.0,1,20.0
S69920094,flat,Merlin avana,Tollygunge,2.0,1.0,627,9330.0,0.58,Old Property,Unfurnished,246.0,1,20.0
